replicate	queries	coverage	useful_correct_coverage	precision_among_evaluable_accepted
197	25977	0.5210763367594411	0.34557493167032377	0.6632924486478499
198	19362	0.6636194607995042	0.4590951348001239	0.6920202413390424
199	20096	0.566281847133758	0.35275676751592355	0.6230444717876604
200	17235	0.4698578474035393	0.22970699158688715	0.4891277489498394
201	21663	0.6850851682592439	0.4870978165535706	0.7110033016643084
202	20527	0.5729039801237394	0.3776489501631997	0.6591836734693878
203	18804	0.44341629440544567	0.33391831525207405	0.7532389635316699
204	22770	0.563987703118138	0.3866051822573562	0.6855919003115265
205	24176	0.4921823295830576	0.331651224354732	0.6740647330811266
206	22451	0.4645227384080887	0.3048416551601265	0.6562470035477994
207	22142	0.47416674193839764	0.32625779062415317	0.688196627607888
208	21259	0.42269156592502	0.15936779716825816	0.37719884212870186
209	21170	0.6927727916863486	0.3788852149267832	0.5469858156028369
210	15616	0.5425845286885246	0.3055840163934426	0.5635998582732963
211	17232	0.5675487465181058	0.3646703806870938	0.6426672121088157
212	24164	0.5146498924019202	0.2902665121668598	0.5640077195239627
213	19362	0.570550562958372	0.32290052680508213	0.5661505025808204
214	26140	0.6267406273909717	0.3847360367253252	0.6139429827238875
215	22306	0.45351026629606384	0.2916255715950865	0.6431678860984773
216	24569	0.6544832919532745	0.41556432903252066	0.6350292324916035
217	26174	0.6845724765034004	0.36964162909757775	0.540080384057162
218	16819	0.5084725607943398	0.28015934359950057	0.5512400561534861
219	16984	0.5107748469147433	0.36292981629769194	0.71071140320535
220	27237	0.5542460623416676	0.3646143114146198	0.6579435537299589
221	19078	0.5991194045497431	0.45859104727958905	0.7655757787889395
222	17499	0.43511057774729983	0.2797874164237956	0.6430260047281324
223	21704	0.5485164025064504	0.33901584961297454	0.6180596388072238
224	17433	0.5252108070900017	0.4349796363219182	0.8282000873743993
225	21922	0.522580056564182	0.2653498768360551	0.5078575170246202
226	22447	0.6885107141266094	0.392970107364013	0.5707538013587836
227	22336	0.49820916905444124	0.24637356733524354	0.49451833213515456
228	26764	0.6901808399342401	0.4038260349723509	0.5851017756604591
229	18194	0.6849510827745411	0.4721336704408047	0.6894060995184591
230	22064	0.6216007976794778	0.38179840464104425	0.614218009478673
231	19334	0.6446674252611979	0.4187959035895314	0.6497351949927781
232	23268	0.586986419116383	0.45332645693656526	0.7725208730042479
233	22043	0.6875198475706573	0.5026539037336116	0.7312083415825249
234	20485	0.5024652184525262	0.23387844764461801	0.4655524244485473
235	15423	0.6760033715878883	0.4663165402321209	0.6899462778204144
236	17990	0.5598665925514175	0.41172873818788214	0.7355511420059583
237	18980	0.5185985247629084	0.4195995785036881	0.8091029157777101
238	19744	0.6524007293354943	0.4946819286871961	0.7583663327898129
239	17681	0.5128103614048979	0.2840337085006504	0.5538766957097165
240	19153	0.3834386258027463	0.20780034459353627	0.5419389978213508
241	20096	0.5274183917197452	0.32857285031847133	0.6229833003113501
242	18988	0.6759532336212345	0.3206235517168738	0.4744758787311979
243	22384	0.5918513223731237	0.4642601858470336	0.7846572032618544
244	20068	0.6574147897149691	0.48285828184173807	0.7347031617256805
245	22421	0.670576691494581	0.4510503545782971	0.6726305287662122
246	21816	0.5841125779244591	0.3582233223322332	0.6132778780506944
247	20318	0.6570528595334186	0.5293828132690226	0.805934362355762
248	25460	0.47706205813040065	0.3650432050274941	0.7651901860694879
249	20220	0.543026706231454	0.2450049455984174	0.4512661687010384
250	19338	0.6598407281001137	0.3296100941152136	0.49952978056426334
251	21938	0.6320995532865348	0.3531315525572067	0.5587450414713306
