level	scope	group	queries	clusters	loss_queries	loss_fraction	expected_loss_fraction_given_budget	observed_minus_expected_pp	full_activity_candidates_q25	full_activity_candidates_median	full_activity_candidates_q75	scored_activity_candidates_q25	scored_activity_candidates_median	scored_activity_candidates_q75	full_matching_activities_q25	full_matching_activities_median	full_matching_activities_q75	full_matching_reference_proteins_q25	full_matching_reference_proteins_median	full_matching_reference_proteins_q75	realized_scored_fraction_q25	realized_scored_fraction_median	realized_scored_fraction_q75	best_modality_first_match_rank_q25	best_modality_first_match_rank_median	best_modality_first_match_rank_q75
EC_L3	MATCH_COUNT_X_RANK	6-10 | 1	3720	285	1702	0.4575268817204301	0.46218776494458463	-0.4660883224154533	79.0	117.0	132.0	7.0	10.0	13.0	7.0	8.0	9.0	6.0	7.0	8.0	0.07462686567164178	0.09375	0.11486486486486487	1.0	1.0	1.0
EC_L3	MATCH_COUNT_X_RANK	6-10 | 2-5	603	54	279	0.4626865671641791	0.4774070359227117	-1.4720468758532612	104.0	116.0	130.0	8.0	11.0	14.0	7.0	7.0	9.0	4.0	5.0	5.0	0.07555097510702394	0.09183673469387756	0.11224489795918367	2.0	2.0	3.0
EC_L3	MATCH_COUNT_X_RANK	6-10 | 6-10	30	16	10	0.3333333333333333	0.48331082986127444	-14.997749652794113	128.0	137.0	146.5	10.0	12.0	15.0	6.0	7.0	8.0	4.0	5.0	6.75	0.08322281167108753	0.09363758992805755	0.1108058608058608	6.0	7.0	8.0
EC_L3	MATCH_COUNT_X_RANK	6-10 | 11-20	17	10	7	0.4117647058823529	0.5092905474984134	-9.752584161606048	107.0	116.0	131.0	9.0	10.0	11.0	6.0	7.0	8.0	4.0	6.0	6.0	0.06557377049180328	0.08928571428571429	0.1	11.0	13.0	18.0
EC_L3	MATCH_COUNT_X_RANK	6-10 | 21-50	10	5	6	0.6	0.5155104509772085	8.448954902279148	118.25	131.0	142.25	7.5	12.0	14.75	6.25	7.0	7.0	2.25	3.0	3.75	0.07463952502120441	0.08852658403799374	0.11435469710272168	22.25	24.5	29.75
EC_L3	MATCH_COUNT_X_RANK	>10 | 1	10906	703	1318	0.12085090775719787	0.12125015662814846	-0.039924887095059425	77.0	116.0	135.0	7.0	10.0	13.0	16.0	24.0	35.0	12.0	19.0	27.0	0.0743801652892562	0.09278350515463918	0.11290322580645161	1.0	1.0	1.0
EC_L3	MATCH_COUNT_X_RANK	>10 | 2-5	182	46	12	0.06593406593406594	0.09101118748311467	-2.507712154904873	125.0	145.5	161.0	11.0	13.0	16.0	17.25	38.5	65.75	11.0	19.0	38.0	0.07609467837768019	0.09433962264150944	0.11416957026713123	2.0	2.0	3.0
EC_L3	MATCH_COUNT_X_RANK	>10 | 6-10	20	6	2	0.1	0.14642059633283683	-4.642059633283682	143.75	150.5	158.5	11.75	14.0	16.25	12.0	21.0	34.5	6.0	7.5	9.0	0.0836376998797381	0.09956652512384997	0.10980902777777778	7.75	8.0	9.0
EC_L3	MATCH_COUNT_X_RANK	>10 | 11-20	5	2	1	0.2	0.06311869963315554	13.688130036684448	161.0	167.0	175.0	14.0	14.0	21.0	24.0	26.0	37.0	6.0	7.0	7.0	0.08383233532934131	0.08695652173913043	0.13068181818181818	13.0	13.0	14.0
EC_L3	MATCH_COUNT_X_RANK	>10 | 21-50	1	1	0	0.0	0.024300102407655844	-2.4300102407655846	152.0	152.0	152.0	12.0	12.0	12.0	39.0	39.0	39.0	2.0	2.0	2.0	0.07894736842105263	0.07894736842105263	0.07894736842105263	23.0	23.0	23.0
