phase	level	n	n_clusters	baseline	primary	budget	accepted	coverage	judge_precision	hit_precision	delta_precision_pp	delta_ci_low_pp	delta_ci_high_pp	net_correct	added_correct	new_disagreement	lost_correct	avoided_disagreement	both_accepted	neither
33	EC_L3	309	252	hit_ec4_softmax	False	0.25	77	0.24919093851132687	0.98701298701298701	0.98701298701298701	0	-3.9473684210526327	3.9473684210526327	0	59	1	59	1	17	172
33	EC_L3	309	252	hit_ec4_margin	False	0.25	77	0.24919093851132687	0.98701298701298701	0.98701298701298701	0	-3.9473684210526327	3.9473684210526327	0	58	1	58	1	18	173
33	EC_L3	309	252	hit_native_level_logit	False	0.25	77	0.24919093851132687	0.98701298701298701	0.96103896103896103	2.5974025974025983	-2.6666666666666727	9.3333333333333375	2	49	1	47	3	27	182
33	EC_L3	309	252	hit_ec4_logit	True	0.5	154	0.49838187702265374	0.96103896103896103	0.98701298701298701	-2.5974025974025983	-5.2980132450331174	0.65359477124182774	-4	65	4	69	0	85	86
33	EC_L3	309	252	hit_ec4_softmax	False	0.5	154	0.49838187702265374	0.96103896103896103	0.99350649350649356	-3.2467532467532534	-6.8749999999999982	0.65359477124183885	-5	65	6	70	1	83	84
33	EC_L3	309	252	hit_ec4_margin	False	0.5	154	0.49838187702265374	0.96103896103896103	0.98701298701298701	-2.5974025974025983	-6.7901234567901199	0.66666666666665986	-4	65	6	69	2	83	84
33	EC_L3	309	252	hit_native_level_logit	False	0.5	154	0.49838187702265374	0.96103896103896103	0.98051948051948057	-1.9480519480519543	-4.6979865771812124	1.3333333333333419	-3	56	4	59	1	94	95
33	EC_L3	309	252	hit_ec4_logit	True	0.75	231	0.74757281553398058	0.95238095238095233	0.98268398268398272	-3.0303030303030387	-5.579399141630903	-0.82304526748970819	-7	37	8	44	1	186	33
33	EC_L3	309	252	hit_ec4_softmax	False	0.75	231	0.74757281553398058	0.95238095238095233	0.9913419913419913	-3.8961038961038974	-6.938775510204076	-1.2395418834812755	-9	35	10	44	1	186	33
33	EC_L3	309	252	hit_ec4_margin	False	0.75	231	0.74757281553398058	0.95238095238095233	0.9913419913419913	-3.8961038961038974	-6.9565217391304284	-1.2395418834812755	-9	35	10	44	1	186	33
33	EC_L3	309	252	hit_native_level_logit	False	0.75	231	0.74757281553398058	0.95238095238095233	0.96969696969696972	-1.7316017316017396	-4.0909090909091006	0.44642857142856984	-4	33	6	37	2	192	39
33	EC_L4	304	247	hit_ec4_logit	True	0.10000000000000001	30	0.098684210526315791	1	1	0	-3.5714285714285698	0	0	24	0	24	0	6	250
33	EC_L4	304	247	hit_ec4_softmax	False	0.10000000000000001	30	0.098684210526315791	1	1	0	-3.4482758620689613	6.6666666666666652	0	29	0	29	0	1	245
33	EC_L4	304	247	hit_ec4_margin	False	0.10000000000000001	30	0.098684210526315791	1	1	0	-3.4482758620689613	6.8965517241379342	0	28	0	28	0	2	246
33	EC_L4	304	247	hit_native_level_logit	False	0.10000000000000001	30	0.098684210526315791	1	1	0	-3.5714285714285698	0	0	24	0	24	0	6	250
33	EC_L4	304	247	hit_ec4_logit	True	0.25	76	0.25	0.94736842105263153	1	-5.2631578947368478	-11.392405063291145	0	-4	44	4	48	0	28	180
33	EC_L4	304	247	hit_ec4_softmax	False	0.25	76	0.25	0.94736842105263153	0.98684210526315785	-3.9473684210526327	-11.392405063291145	1.4084507042253502	-3	43	4	46	1	29	181
33	EC_L4	304	247	hit_ec4_margin	False	0.25	76	0.25	0.94736842105263153	0.98684210526315785	-3.9473684210526327	-11.392405063291145	1.4084507042253502	-3	42	4	45	1	30	182
33	EC_L4	304	247	hit_native_level_logit	False	0.25	76	0.25	0.94736842105263153	1	-5.2631578947368478	-11.392405063291145	0	-4	44	4	48	0	28	180
33	EC_L4	304	247	hit_ec4_logit	True	0.5	152	0.5	0.96052631578947367	0.96710526315789469	-0.65789473684210176	-3.3112582781456901	1.9867549668874163	-1	52	2	53	1	98	98
33	EC_L4	304	247	hit_ec4_softmax	False	0.5	152	0.5	0.96052631578947367	0.98684210526315785	-2.6315789473684181	-7.1428571428571512	0.66666666666665986	-4	67	6	71	2	79	79
33	EC_L4	304	247	hit_ec4_margin	False	0.5	152	0.5	0.96052631578947367	0.98684210526315785	-2.6315789473684181	-7.0979262672811005	0.67114093959731447	-4	66	6	70	2	80	80
33	EC_L4	304	247	hit_native_level_logit	False	0.5	152	0.5	0.96052631578947367	0.96710526315789469	-0.65789473684210176	-3.3112582781456901	1.9867549668874163	-1	52	2	53	1	98	98
33	EC_L4	304	247	hit_ec4_logit	True	0.75	228	0.75	0.96491228070175439	0.9692982456140351	-0.43859649122807154	-1.8779342723004744	0.90909090909091494	-1	35	2	36	1	191	39
33	EC_L4	304	247	hit_ec4_softmax	False	0.75	228	0.75	0.96491228070175439	0.99122807017543857	-2.6315789473684181	-5.7522123893805288	0	-6	35	7	41	1	186	34
33	EC_L4	304	247	hit_ec4_margin	False	0.75	228	0.75	0.96491228070175439	0.99122807017543857	-2.6315789473684181	-5.7777777777777706	0	-6	34	7	40	1	187	35
33	EC_L4	304	247	hit_native_level_logit	False	0.75	228	0.75	0.96491228070175439	0.9692982456140351	-0.43859649122807154	-1.8779342723004744	0.90909090909091494	-1	35	2	36	1	191	39
