level	target	threshold	scope	metric	estimate	ci95_low	ci95_high	denominator_queries	cohort_clusters	scope_clusters	replicates	seed	valid_draws	undefined_draws	interval_status
EXACT_RHEA	0.9	0.9416666626930237	BASELINE_SAMPLING_LOSS	accepted_concordant_fraction_delta	0.25622109667474124	0.14088594280465103	0.38157327042054057	9082	1220	499	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EXACT_RHEA	0.9	0.9416666626930237	BASELINE_SAMPLING_LOSS	accepted_disagreement_fraction_delta	0.008918740365558247	-0.00011998497065143532	0.024509166903454647	9082	1220	499	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EXACT_RHEA	0.9	0.9416666626930237	BASELINE_SAMPLING_LOSS	gain_concordant_fraction	0.25622109667474124	0.14088594280465103	0.38157327042054057	9082	1220	499	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EXACT_RHEA	0.9	0.9416666626930237	BASELINE_SAMPLING_LOSS	loss_concordant_fraction	0.0	0.0	0.0	9082	1220	499	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EXACT_RHEA	0.9	0.9416666626930237	BASELINE_SAMPLING_LOSS	accepted_precision_delta	0.9595876288659794			9082	1220	499	2000	20260819	1990	10	NOT_ISSUED_UNDEFINED_DRAWS
EXACT_RHEA	0.95	0.9416666626930237	ALL_QUERIES	coverage_delta	0.12873114077933356	0.07567811933143805	0.1917112193101093	27639	1220	1220	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EXACT_RHEA	0.95	0.9416666626930237	ALL_QUERIES	accepted_concordant_fraction_delta	0.11661058649010456	0.06642972627221791	0.1791224722874716	27639	1220	1220	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EXACT_RHEA	0.95	0.9416666626930237	ALL_QUERIES	accepted_disagreement_fraction_delta	0.012120554289228988	0.0015967531588798303	0.028225640842036426	27639	1220	1220	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EXACT_RHEA	0.95	0.9416666626930237	ALL_QUERIES	gain_concordant_fraction	0.11664676724917689	0.06647181199760316	0.17915907030871364	27639	1220	1220	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EXACT_RHEA	0.95	0.9416666626930237	ALL_QUERIES	loss_concordant_fraction	3.618075907232534e-05	0.0	0.0001204206300576609	27639	1220	1220	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EXACT_RHEA	0.95	0.9416666626930237	ALL_QUERIES	accepted_precision_delta	-0.024443527610948368	-0.07831684505577331	0.006886258936863018	27639	1220	1220	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EXACT_RHEA	0.95	0.9416666626930237	BASELINE_SAMPLING_LOSS	coverage_delta	0.2651398370402995	0.14741724543713372	0.39426950121416177	9082	1220	499	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EXACT_RHEA	0.95	0.9416666626930237	BASELINE_SAMPLING_LOSS	accepted_concordant_fraction_delta	0.25622109667474124	0.14088594280465103	0.38157327042054057	9082	1220	499	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EXACT_RHEA	0.95	0.9416666626930237	BASELINE_SAMPLING_LOSS	accepted_disagreement_fraction_delta	0.008918740365558247	-0.00011998497065143532	0.024509166903454647	9082	1220	499	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EXACT_RHEA	0.95	0.9416666626930237	BASELINE_SAMPLING_LOSS	gain_concordant_fraction	0.25622109667474124	0.14088594280465103	0.38157327042054057	9082	1220	499	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EXACT_RHEA	0.95	0.9416666626930237	BASELINE_SAMPLING_LOSS	loss_concordant_fraction	0.0	0.0	0.0	9082	1220	499	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EXACT_RHEA	0.95	0.9416666626930237	BASELINE_SAMPLING_LOSS	accepted_precision_delta	0.9595876288659794			9082	1220	499	2000	20260819	1990	10	NOT_ISSUED_UNDEFINED_DRAWS
